Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
262153,2800,-200,639,2880322.8,1.9044399e+10,1.3462842,9.6838026,1.0990909,0.92346084,1.9058913,2615,2.1281712
262154,2800,0,658,3086403,2.11124e+10,1.3470844,9.8080597,1.1131939,0.92497867,1.8944147,2615,2.1180632
262155,2800,200,654,3131888.8,2.181624e+10,1.3372303,9.8332949,1.1160581,0.92528522,1.8921194,2615,2.1248052
262156,2800,400,616,2928619.8,2.0465961e+10,1.3028024,9.7496786,1.1065677,0.92426735,1.8997705,2615,2.1614406
262157,2800,600,506,2122977.2,1.364096e+10,1.2228929,9.3673382,1.0631729,0.91952872,1.9364958,2615,2.2628253
262158,2800,800,372,1202976.5,6.3235599e+09,1.0420374,9.139595,1.0373245,0.91663736,1.9598317,2615,2.4466252
262159,2800,1000,257,498341.09,1.1439601e+09,1.564316,6.3768754,0.7237618,0.87634069,2.3756695,2615,2.288198
262161,2800,1400,1470,8708637,6.392184e+10,1.1746662,18.448305,2.0938435,1.0069926,1.4755164,2615,1.8953592
262162,2800,1600,1477,8584594,6.2642561e+10,1.1694071,18.597927,2.1108251,1.0081354,1.4716909,2615,1.8962184
262163,2800,1800,1485,8481874,6.1543678e+10,1.1638712,18.765339,2.1298261,1.0094064,1.4674828,2615,1.8969455
262164,2800,2000,1492,8385658.5,6.0538479e+10,1.1624579,18.873451,2.1420965,1.0102228,1.4648049,2615,1.8955926
262165,2800,2200,1502,8323024.5,5.982192e+10,1.1563689,19.077574,2.1652641,1.0117552,1.4598317,2615,1.8960496
262166,2800,2400,1509,8263147.5,5.9162919e+10,1.1508172,19.237621,2.183429,1.0129485,1.4560062,2615,1.8971424
262167,2800,2600,1518,8224125.5,5.8687001e+10,1.1488253,19.383976,2.2000401,1.0140334,1.4525632,2615,1.8955376
262168,2800,2800,1525,8195629,5.831816e+10,1.147225,19.499357,2.2131355,1.0148847,1.4498852,2615,1.8943322
262169,2800,3000,1531,8178435,5.8101322e+10,1.1458178,19.599354,2.2244849,1.0156195,1.4475899,2615,1.893329
262170,2800,3200,1543,8199047.5,5.8109682e+10,1.1388566,19.853891,2.2533743,1.0174779,1.4418516,2615,1.8937646
262171,2800,3400,1533,8035058,5.622904e+10,1.1426388,19.66659,2.2321162,1.0161121,1.4460597,2615,1.8945806
262172,2800,3600,1541,8068651,5.642648e+10,1.1407055,19.802456,2.2475367,1.0171038,1.4429992,2615,1.8932869
262173,2800,3800,1550,8138496,5.7056322e+10,1.1217431,20.1682,2.289048,1.0197493,1.4349656,2615,1.9018291
262174,2800,4000,1551,8150186,5.7080599e+10,1.1229306,20.1682,2.289048,1.0197493,1.4349656,2615,1.9008003
262175,2800,4200,1553,8181675.5,5.730832e+10,1.1224321,20.203739,2.2930815,1.0200045,1.4342004,2615,1.9004844
262176,2800,4400,1557,8242663,5.780276e+10,1.1228477,20.257282,2.2991586,1.0203884,1.4330528,2615,1.8990052
262177,2800,4600,1560,8313358.5,5.8434318e+10,1.1234944,20.293137,2.3032279,1.020645,1.4322877,2615,1.8977015
262178,2800,4800,1562,8394180,5.920104e+10,1.1229771,20.329117,2.3073115,1.0209023,1.4315226,2615,1.8974023
262179,2800,5000,1562,8466513,5.9855278e+10,1.1243821,20.311111,2.3052678,1.0207736,1.4319052,2615,1.8965644
262180,2800,5200,1562,8553792,6.0687278e+10,1.1243821,20.311111,2.3052678,1.0207736,1.4319052,2615,1.8965644
262181,2800,5400,1567,8707121,6.2252999e+10,1.1230701,20.401463,2.3155227,1.0214186,1.4299923,2615,1.8958336
262182,2800,5600,1569,8831036,6.3374041e+10,1.1239321,20.41963,2.3175845,1.021548,1.4296098,2615,1.8947214
262183,2800,5800,1569,8968573,6.4865079e+10,1.1239321,20.41963,2.3175845,1.021548,1.4296098,2615,1.8947214
262184,2800,6000,1565,9063316,6.5768878e+10,1.126381,20.329117,2.3073115,1.0209023,1.4315226,2615,1.8944747
262185,2800,6200,1569,9255644,6.7772482e+10,1.1253177,20.401463,2.3155227,1.0214186,1.4299923,2615,1.8939035
262186,2800,6400,1571,9438652,6.9698118e+10,1.1247804,20.437828,2.3196502,1.0216776,1.4292272,2615,1.8936225
327680,3000,-2000,530,2320544.8,1.412268e+10,1.5588489,8.2102556,0.93184656,0.90424991,2.0684774,2615,2.0712037
327681,3000,-1800,535,2275911.2,1.36732e+10,1.5563848,8.2545872,0.93687814,0.90486401,2.0627391,2615,2.0689905
327682,3000,-1600,543,2260263,1.346256e+10,1.5543413,8.3144464,0.943672,0.9056893,2.055088,2615,2.0649734
327683,3000,-1400,554,2268640,1.341492e+10,1.5542409,8.3813028,0.95126003,0.90660578,2.0466719,2615,2.0587091
327684,3000,-1200,563,2274891.8,1.337796e+10,1.5459586,8.4804897,0.96251756,0.90795553,2.03443,2615,2.0565331
327685,3000,-1000,574,2297715,1.345508e+10,1.5458397,8.5468674,0.97005123,0.90885222,2.0263963,2615,2.05054
327686,3000,-800,590,2360589,1.382084e+10,1.5394354,8.676218,0.98473227,0.91058475,2.0110941,2615,2.0443881
